key;date;sessionKey;statsSessionId;licenceEstPremium;androidVersion;page;composantUI;cheminNavigation;nombreCmpsCmpsntUINonDstnctVisites;nombrePages;nbUiAidesOuverts;listeFunnels;
-LyEPd6dH9IgFS9ujfjH;10-1-2020 13:25:23;;-LyEP_F_q1Rs5imfD9wf;;;TutorielPage;btnFinirTuto;;;;;
-LyEPfjX0R6m0x1PefJ_;10-1-2020 13:25:34;;-LyEP_F_q1Rs5imfD9wf;;;PrevisionsPage;btnGeoloc;;;;;
-LyEPkeEV4use5N7DlUY;10-1-2020 13:25:54;;-LyEP_F_q1Rs5imfD9wf;;;PrevisionsPage;btnGeoloc;;;;;
-LyEPmY9MdvtcUxCvDPP;10-1-2020 13:26:2;-LyEP_GuhIPdteaVl5BF;-LyEP_F_q1Rs5imfD9wf;false;8.1.0;PrevisionsPage;swipeVersVuePlanete;app.component>TutorielPage>PrevisionsPage;8;2;0;
-LyEvuLCyWC29SRyeMZR;10-1-2020 15:50:46;;-LyEvuLCyWC29SRyeMZR;;;app.component;initApp;;;;;
-LyEw-3ZG_8X8knvvT6j;10-1-2020 15:51:9;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;barreRechSaisir;;;;;
-LyEw-DnHk_7Ix8HejRp;10-1-2020 15:51:10;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;barreRechSaisir;;;;;
-LyEw3DmlIJ0dzlslypE;10-1-2020 15:51:26;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;barreRechSaisir;;;;;
-LyEw5Z7JRjRYOIwS9zD;10-1-2020 15:51:36;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;barreRechSaisir;;;;;
-LyEwC9x68wXA4nXPiEm;10-1-2020 15:52:3;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;barreRechSaisir;;;;;
-LyEwG1HTWAkzttzHgFO;10-1-2020 15:52:19;;-LyEvuLCyWC29SRyeMZR;;;PrevisionsPage;btnGeoloc;;;;;
-LyEwLiziTD8sRVWaCbT;10-1-2020 15:52:42;-LyEvuYK8zN-iQaitfFw;-LyEvuLCyWC29SRyeMZR;false;8.1.0;CreditsWeatherDataModal;lienFournisseurYW;app.component>PrevisionsPage>CreditsWeatherDataModal;7;2;2;
-LyGQQAywGQmBgaDFbQq;10-1-2020 22:48:4;;-LyGQQAywGQmBgaDFbQq;;;app.component;initApp;;;;;
-LyGQhvIeKmiBD9elTW3;10-1-2020 22:49:20;;-LyGQQAywGQmBgaDFbQq;;;TutorielPage;btnSuivant;;;;;
-LyGQjfGP8buNgFx7-EF;10-1-2020 22:49:27;;-LyGQQAywGQmBgaDFbQq;;;TutorielPage;btnSuivant;;;;;
-LyGQmwPGUZ2zLwvXcU5;10-1-2020 22:49:40;;-LyGQQAywGQmBgaDFbQq;;;TutorielPage;btnSuivant;;;;;
-LyGQqZ0dD17AOoRjTBl;10-1-2020 22:49:55;;-LyGQQAywGQmBgaDFbQq;;;TutorielPage;btnFinirTuto;;;;;
-LyGQz1IZsvgaD3pC6d3;10-1-2020 22:50:30;-LyGQQMVSOE1cQADj4F_;-LyGQQAywGQmBgaDFbQq;false;7.0;PrevisionsPage;btnGeoloc;app.component>TutorielPage>PrevisionsPage;5;2;0;
-LyHudGrBuC6zEQ1rpwk;11-1-2020 5:44:4;;-LyHudGrBuC6zEQ1rpwk;;;app.component;initApp;;;;;
-LyHuoAI7I-MO6zp6Fh9;11-1-2020 5:44:49;;-LyHudGrBuC6zEQ1rpwk;;;TutorielPage;btnSuivant;;;;;
-LyHup3uae26Zs6hg0QH;11-1-2020 5:44:52;-LyHudJ3M3TMeLFVDp5H;-LyHudGrBuC6zEQ1rpwk;false;7.0;TutorielPage;btnSuivant;app.component>TutorielPage;2;1;0;
-LyIkaY1WAWIXTiDFTzl;11-1-2020 9:39:54;;-LyIkaY1WAWIXTiDFTzl;;;app.component;initApp;;;;;
-LyIkdvAcFT8z_k3r8QU;11-1-2020 9:40:7;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIkhrQNixOY6438unO;11-1-2020 9:40:24;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIklwEZzfyApMMeKc0;11-1-2020 9:40:40;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIknw1p_aGHas60TsN;11-1-2020 9:40:48;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIkoGiT54Mlv5SQM4h;11-1-2020 9:40:50;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIkqe5zw8ow_2i0-yM;11-1-2020 9:41:0;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIkquMzBzY9XM8XOVI;11-1-2020 9:41:1;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnSuivant;;;;;
-LyIktS7rcQeyBR87Gmb;11-1-2020 9:41:11;;-LyIkaY1WAWIXTiDFTzl;;;TutorielPage;btnFinirTuto;;;;;
-LyIl0372-54oSMGNQjY;11-1-2020 9:41:42;;-LyIkaY1WAWIXTiDFTzl;;;PrevisionsPage;barreRechSaisir;;;;;
-LyIl0eOglXVKS-FxuXf;11-1-2020 9:41:45;;-LyIkaY1WAWIXTiDFTzl;;;PrevisionsPage;barreRechSaisir;;;;;
-LyIl1Is5R3C6gr6Eu85;11-1-2020 9:41:47;;-LyIkaY1WAWIXTiDFTzl;;;PrevisionsPage;barreRechSaisir;;;;;
-LyIl8Ty9zUk2vwTk4pO;11-1-2020 9:42:17;;-LyIkaY1WAWIXTiDFTzl;;;PrevisionsPage;btnGeoloc;;;;;
-LyIlM40hoylt5Tak7qs;11-1-2020 9:43:12;;-LyIkaY1WAWIXTiDFTzl;;;PrevisionsPage;btnMenu;;;;;
